Day          Total    Perdiem  Percentage
Nov-10-2023 6959975	373	0%
Nov-9-2023 6959602	343	0%
Nov-8-2023 6959259	359	0%
Nov-7-2023 6958900	493	0%
Nov-6-2023 6958407	375	0%
Nov-5-2023 6958032	347	0%
Nov-4-2023 6957685	315	0%
Nov-3-2023 6957370	348	0%
Nov-2-2023 6957022	295	0%
Nov-1-2023 6956727	342	0%
Oct-31-2023 6956385	444	0%
Oct-30-2023 6955941	339	0%
Oct-29-2023 6955602	305	0%
Oct-28-2023 6955297	328	0%
Oct-27-2023 6954969	323	0%
Oct-26-2023 6954646	366	0%
Oct-25-2023 6954280	342	0%
Oct-24-2023 6953938	426	0%
Oct-23-2023 6953512	423	0%
Oct-22-2023 6953089	293	0%
Oct-21-2023 6952796	416	0%
Oct-20-2023 6952380	383	0%
Oct-19-2023 6951997	388	0%
Oct-18-2023 6951609	413	0%
Oct-17-2023 6951196	424	0%
Oct-16-2023 6950772	389	0%
Oct-15-2023 6950383	393	0%
Oct-14-2023 6949990	315	0%
Oct-13-2023 6949675	363	0%
Oct-12-2023 6949312	355	0%
Oct-11-2023 6948957	358	0%
Oct-10-2023 6948599	376	0%
Oct-9-2023 6948223	437	0%
Oct-8-2023 6947786	338	0%
Oct-7-2023 6947448	332	0%
Oct-6-2023 6947116	339	0%
Oct-5-2023 6946777	342	0%
Oct-4-2023 6946435	341	0%
Oct-3-2023 6946094	370	0%
Oct-2-2023 6945724	336	0%
Oct-1-2023 6945388	346	0%
Sep-30-2023 6945042	333	0%
Sep-29-2023 6944709	347	0%
Sep-28-2023 6944362	323	0%
Sep-27-2023 6944039	295	0%
Sep-26-2023 6943744	377	0%
Sep-25-2023 6943367	368	0%
Sep-24-2023 6942999	290	0%
Sep-23-2023 6942709	313	0%
Sep-22-2023 6942396	290	0%
Sep-21-2023 6942106	309	0%
Sep-20-2023 6941797	321	0%
Sep-19-2023 6941476	384	0%
Sep-18-2023 6941092	343	0%
Sep-17-2023 6940749	234	0%
Sep-16-2023 6940515	296	0%
Sep-15-2023 6940219	365	0%
Sep-14-2023 6939854	313	0%
Sep-13-2023 6939541	349	0%
Sep-12-2023 6939192	353	0%
Sep-11-2023 6938839	321	0%
Sep-10-2023 6938518	230	0%
Sep-9-2023 6938288	285	0%
Sep-8-2023 6938003	259	0%
Sep-7-2023 6937744	300	0%
Sep-6-2023 6937444	273	0%
Sep-5-2023 6937171	321	0%
Sep-4-2023 6936850	368	0%
Sep-3-2023 6936482	208	0%
Sep-2-2023 6936274	233	0%
Sep-1-2023 6936041	223	0%
Aug-31-2023 6935818	325	0%
Aug-30-2023 6935493	263	0%
Aug-29-2023 6935230	647	0%
Aug-28-2023 6934583	275	0%
Aug-27-2023 6934308	238	0%
Aug-26-2023 6934070	213	0%
Aug-25-2023 6933857	231	0%
Aug-24-2023 6933626	248	0%
Aug-23-2023 6933378	269	0%
Aug-22-2023 6933109	373	0%
Aug-21-2023 6932736	301	0%
Aug-20-2023 6932435	493	0%
Aug-19-2023 6931942	217	0%
Aug-18-2023 6931725	222	0%
Aug-17-2023 6931503	249	0%
Aug-16-2023 6931254	219	0%
Aug-15-2023 6931035	353	0%
Aug-14-2023 6930682	263	0%
Aug-13-2023 6930419	184	0%
Aug-12-2023 6930235	208	0%
Aug-11-2023 6930027	242	0%
Aug-10-2023 6929785	232	0%
Aug-9-2023 6929553	260	0%
Aug-8-2023 6929293	376	0%
Aug-7-2023 6928917	265	0%
Aug-6-2023 6928652	257	0%
Aug-5-2023 6928395	240	0%
Aug-4-2023 6928155	208	0%
Aug-3-2023 6927947	254	0%
Aug-2-2023 6927693	265	0%
Aug-1-2023 6927428	400	0%
Jul-31-2023 6927028	284	0%
Jul-30-2023 6926744	220	0%
Jul-29-2023 6926524	248	0%
Jul-28-2023 6926276	258	0%
Jul-27-2023 6926018	289	0%
Jul-26-2023 6925729	266	0%
Jul-25-2023 6925463	404	0%
Jul-24-2023 6925059	235	0%
Jul-23-2023 6924824	205	0%
Jul-22-2023 6924619	249	0%
Jul-21-2023 6924370	242	0%
Jul-20-2023 6924128	262	0%
Jul-19-2023 6923866	261	0%
Jul-18-2023 6923605	238	0%
Jul-17-2023 6923367	164	0%
Jul-16-2023 6923203	136	0%
Jul-15-2023 6923067	177	0%
Jul-14-2023 6922890	218	0%
Jul-13-2023 6922672	231	0%
Jul-12-2023 6922441	241	0%
Jul-11-2023 6922200	307	0%
Jul-10-2023 6921893	218	0%
Jul-9-2023 6921675	180	0%
Jul-8-2023 6921495	195	0%
Jul-7-2023 6921300	221	0%
Jul-6-2023 6921079	256	0%
Jul-5-2023 6920823	258	0%
Jul-4-2023 6920565	385	0%
Jul-3-2023 6920180	244	0%
Jul-2-2023 6919936	269	0%
Jul-1-2023 6919667	215	0%
Jun-30-2023 6919452	237	0%
Jun-29-2023 6919215	349	0%
Jun-28-2023 6918866	303	0%
Jun-27-2023 6918563	285	0%
Jun-26-2023 6918278	500	0%
Jun-25-2023 6917778	230	0%
Jun-24-2023 6917548	312	0%
Jun-23-2023 6917236	377	0%
Jun-22-2023 6916859	284	0%
Jun-21-2023 6916575	319	0%
Jun-20-2023 6916256	416	0%
Jun-19-2023 6915840	419	0%
Jun-18-2023 6915421	251	0%
Jun-17-2023 6915170	289	0%
Jun-16-2023 6914881	384	0%
Jun-15-2023 6914497	385	0%
Jun-14-2023 6914112	391	0%
Jun-13-2023 6913721	562	0%
Jun-12-2023 6913159	380	0%
Jun-11-2023 6912779	253	0%
Jun-10-2023 6912526	299	0%
Jun-9-2023 6912227	399	0%
Jun-8-2023 6911828	436	0%
Jun-7-2023 6911392	382	0%
Jun-6-2023 6911010	683	0%
Jun-5-2023 6910327	425	0%
Jun-4-2023 6909902	372	0%
Jun-3-2023 6909530	418	0%
Jun-2-2023 6909112	461	0%
Jun-1-2023 6908651	480	0%
May-31-2023 6908171	405	0%
May-30-2023 6907766	676	0%
May-29-2023 6907090	461	0%
May-28-2023 6906629	335	0%
May-27-2023 6906294	342	0%
May-26-2023 6905952	501	0%
May-25-2023 6905451	473	0%
May-24-2023 6904978	521	0%
May-23-2023 6904457	815	0%
May-22-2023 6903642	599	0%
May-21-2023 6903043	438	0%
May-20-2023 6902605	451	0%
May-19-2023 6902154	441	0%
May-18-2023 6901713	470	0%
May-17-2023 6901243	597	0%
May-16-2023 6900646	650	0%
May-15-2023 6899996	491	0%
May-14-2023 6899505	398	0%
May-13-2023 6899107	453	0%
May-12-2023 6898654	638	0%
May-11-2023 6898016	616	0%
May-10-2023 6897400	620	0%
May-9-2023 6896780	692	0%
May-8-2023 6896088	654	0%
May-7-2023 6895434	740	0%
May-6-2023 6894694	596	0%
May-5-2023 6894098	734	0%
May-4-2023 6893364	674	0%
May-3-2023 6892690	764	0%
May-2-2023 6891926	820	0%
May-1-2023 6891106	597	0%
Apr-30-2023 6890509	495	0%
Apr-29-2023 6890014	536	0%
Apr-28-2023 6889478	859	0%
Apr-27-2023 6888619	843	0%
Apr-26-2023 6887776	862	0%
Apr-25-2023 6886914	1028	0%
Apr-24-2023 6885886	811	0%
Apr-23-2023 6885075	558	0%
Apr-22-2023 6884517	697	0%
Apr-21-2023 6883820	896	0%
Apr-20-2023 6882924	801	0%
Apr-19-2023 6882123	824	0%
Apr-18-2023 6881299	1185	0%
Apr-17-2023 6880114	742	0%
Apr-16-2023 6879372	638	0%
Apr-15-2023 6878734	648	0%
Apr-14-2023 6878086	1012	0%
Apr-13-2023 6877074	850	0%
Apr-12-2023 6876224	1044	0%
Apr-11-2023 6875180	996	0%
Apr-10-2023 6874184	615	0%
Apr-9-2023 6873569	616	0%
Apr-8-2023 6872953	672	0%
Apr-7-2023 6872281	682	0%
Apr-6-2023 6871599	846	0%
Apr-5-2023 6870753	1000	0%
Apr-4-2023 6869753	1206	0%
Apr-3-2023 6868547	887	0%
Apr-2-2023 6867660	641	0%
Apr-1-2023 6867019	718	0%
Mar-31-2023 6866301	1098	0%
Mar-30-2023 6865203	1032	0%
Mar-29-2023 6864171	963	0%
Mar-28-2023 6863208	1147	0%
Mar-27-2023 6862061	985	0%
Mar-26-2023 6861076	730	0%
Mar-25-2023 6860346	916	0%
Mar-24-2023 6859430	961	0%
Mar-23-2023 6858469	1074	0%
Mar-22-2023 6857395	1254	0%
Mar-21-2023 6856141	1087	0%
Mar-20-2023 6855054	1021	0%
Mar-19-2023 6854033	760	0%
Mar-18-2023 6853273	786	0%
Mar-17-2023 6852487	1062	0%
Mar-16-2023 6851425	1187	0%
Mar-15-2023 6850238	1169	0%
Mar-14-2023 6849069	1074	0%
Mar-13-2023 6847995	1062	0%
Mar-12-2023 6846933	857	0%
Mar-11-2023 6846076	901	0%
Mar-10-2023 6845175	1084	0%
Mar-9-2023 6844091	1091	0%
Mar-8-2023 6843000	1166	0%
Mar-7-2023 6841834	1007	0%
Mar-6-2023 6840827	994	0%
Mar-5-2023 6839833	765	0%
Mar-4-2023 6839068	856	0%
Mar-3-2023 6838212	1123	0%
Mar-2-2023 6837089	1154	0%
Mar-1-2023 6835935	1219	0%
Feb-28-2023 6834716	1096	0%
Feb-27-2023 6833620	1128	0%
Feb-26-2023 6832492	718	0%
Feb-25-2023 6831774	838	0%
Feb-24-2023 6830936	1147	0%
Feb-23-2023 6829789	1554	0%
Feb-22-2023 6828235	1485	0%
Feb-21-2023 6826750	1210	0%
Feb-20-2023 6825540	936	0%
Feb-19-2023 6824604	1021	0%
Feb-18-2023 6823583	897	0%
Feb-17-2023 6822686	1165	0%
Feb-16-2023 6821521	1372	0%
Feb-15-2023 6820149	1533	0%
Feb-14-2023 6818616	1367	0%
Feb-13-2023 6817249	1176	0%
Feb-12-2023 6816073	928	0%
Feb-11-2023 6815145	1084	0%
Feb-10-2023 6814061	1458	0%
Feb-9-2023 6812603	1418	0%
Feb-8-2023 6811185	1509	0%
Feb-7-2023 6809676	1461	0%
Feb-6-2023 6808215	1526	0%
Feb-5-2023 6806689	1122	0%
Feb-4-2023 6805567	1270	0%
Feb-3-2023 6804297	1777	0%
Feb-2-2023 6802520	1900	0%
Feb-1-2023 6800620	1945	0%
Jan-31-2023 6798675	1813	0%
Jan-30-2023 6796862	1492	0%
Jan-29-2023 6795370	1356	0%
Jan-28-2023 6794014	1401	0%
Jan-27-2023 6792613	1737	0%
Jan-26-2023 6790876	1906	0%
Jan-25-2023 6788970	1946	0%
Jan-24-2023 6787024	1962	0%
Jan-23-2023 6785062	1769	0%
Jan-22-2023 6783293	1619	0%
Jan-21-2023 6781674	1663	0%
Jan-20-2023 6780011	2360	0%
